Date,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6
2022/03/29 08:00,Är du nöjd med hur politikerna skött sig denna mandatperiod 2018-2022?,Ja,Nej,Ingen åsikt,,,
2022/03/30 08:00,Ska Sverige vara med i EU?,Ja,"Ja, men mindre detaljstyrning","Nej, gå ur",Ingen åsikt,,
2022/03/31 08:00,Var det rätt av Sverige att skicka vapen till Ukraina under kriget med Ryssland?,Ja,Nej,Ingen åsikt,,,
2022/04/01 08:00,Är Sverige ett bra land att bo i?,"Ja, det bästa",Ett av de bättre,Helt okej,Nej,Ingen åsikt,
2022/04/02 08:00,Ska vi ha lägre moms på ekologisk mat och högre moms på onyttig mat?,Ja,Nej,Ingen åsikt,,,
2022/04/03 08:00,"I stora beslut, ska folket få mer medbestämmande genom periodvisa folkomröstningar eller ska dessa beslut tas av experter?",Folkomröstningar,Experter,Ingen åsikt,,,
2022/04/04 08:00,Hur tyckte du att pandemin hanterades i Sverige?,Mycket bra,Bra,Helt okej,Inte bra,Dåligt,Ingen åsikt
2022/04/05 08:00,Vill du att WHO bestämmer över svenska regeringen i pandemi-tider gällande nedstängningar och karantäner?,Ja,Nej,Ingen åsikt,,,
2022/04/06 08:00,"Om det är mer vete än råg i brödet, skall det ändå få heta rågbröd?",Ja,Nej,Ingen åsikt,,,
2022/04/07 08:00,Ska alternativa behandlingsformer vara likställda de som utförs av sjukhus och fritt kunna väljas?,Ja,Nej,Ingen åsikt,,,
2022/04/08 08:00,Vilken stormakt har ställt till mest elände i världen?,Ryssland,Kina,USA,Annan,Ingen åsikt,
2022/04/09 08:00,Skall Sverige gå med i NATO?,Ja,Nej,Ingen åsikt,,,
2022/04/10 08:00,Skall Sverige ingå försvarsavtal med Finland utan inblandning av NATO?,Ja,Nej,Ingen åsikt,,,
2022/04/11 08:00,Vilken mänsklig påverkan är den som snabbast behöver åtgärdas?,Klimatpåverkan,All plast överallt,Utsläpp i luften,Läkemedelsrester i vattendrag,Ingen åsikt,
2022/04/12 08:00,Vad tänker du på när du läser om CO2 (koldioxid)?,Inte bra för planeten,Nyttigt för växtligheten,Ingen åsikt,,,
